distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 optim_v-5 optim_v-6 optim_v-7 optim_v-8 optim_v-9 optim_v-10 optim_v-11 optim_v-12 optim_v-13 optim_v-14 optim_v-15 
445.9341 43 0.1068039 0.06254773 0.1006562 0.3379054 0.05229443 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
445.0034 44 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092144 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
445.5405 45 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092124 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
443.6768 46 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338003 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
446.4394 47 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338001 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
444.8595 48 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371224 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
444.6896 49 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371024 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
445.5094 50 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632799 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
445.2414 51 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632599 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
444.7666 52 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.2e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
445.4672 53 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 8e-08 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
445.7302 54 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637867 0.3628809 0.06981061 0.0008258436 0.000137544 
445.4546 55 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637847 0.3628809 0.06981061 0.0008258436 0.000137544 
445.9396 56 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628819 0.06981061 0.0008258436 0.000137544 
